Source,Target,Type,Id,Type_edge,Weigth
2907,2240,Undirected,233,inventeur_brevet,1
2908,1523,Undirected,234,inventeur_brevet,1
2909,1098,Undirected,235,inventeur_brevet,1
2910,806,Undirected,236,inventeur_brevet,1
2911,1591,Undirected,237,inventeur_brevet,1
2912,1795,Undirected,238,inventeur_brevet,1
2913,1792,Undirected,239,inventeur_brevet,1
2914,1055,Undirected,240,inventeur_brevet,1
2915,2651,Undirected,241,inventeur_brevet,1
2916,222,Undirected,242,inventeur_brevet,1
2917,956,Undirected,243,inventeur_brevet,1
2918,580,Undirected,244,inventeur_brevet,1
2919,2242,Undirected,245,inventeur_brevet,1
2920,959,Undirected,246,inventeur_brevet,1
2921,1762,Undirected,247,inventeur_brevet,1
2922,519,Undirected,248,inventeur_brevet,1
2923,761,Undirected,249,inventeur_brevet,1
2924,1408,Undirected,250,inventeur_brevet,1
2925,1074,Undirected,251,inventeur_brevet,1
2926,1639,Undirected,252,inventeur_brevet,1
2927,2196,Undirected,253,inventeur_brevet,1
2928,2400,Undirected,254,inventeur_brevet,1
2929,391,Undirected,255,inventeur_brevet,1
2930,1638,Undirected,256,inventeur_brevet,1
2931,1467,Undirected,257,inventeur_brevet,1
2932,266,Undirected,258,inventeur_brevet,1
2933,779,Undirected,259,inventeur_brevet,1
2933,889,Undirected,260,inventeur_brevet,1
2934,2611,Undirected,261,inventeur_brevet,1
2935,1875,Undirected,262,inventeur_brevet,1
2936,1604,Undirected,263,inventeur_brevet,1
2937,1752,Undirected,264,inventeur_brevet,1
2938,1013,Undirected,265,inventeur_brevet,1
2939,2668,Undirected,266,inventeur_brevet,1
2940,1252,Undirected,267,inventeur_brevet,1
2941,2354,Undirected,268,inventeur_brevet,1
2942,233,Undirected,269,inventeur_brevet,1
2943,1959,Undirected,270,inventeur_brevet,1
2944,2183,Undirected,271,inventeur_brevet,1
2945,1291,Undirected,272,inventeur_brevet,1
2946,301,Undirected,273,inventeur_brevet,1
2946,302,Undirected,274,inventeur_brevet,1
2946,303,Undirected,275,inventeur_brevet,1
2947,1259,Undirected,276,inventeur_brevet,1
2948,307,Undirected,277,inventeur_brevet,1
2949,230,Undirected,278,inventeur_brevet,1
2950,635,Undirected,279,inventeur_brevet,1
2951,2587,Undirected,280,inventeur_brevet,1
2952,2384,Undirected,281,inventeur_brevet,1
2953,1245,Undirected,282,inventeur_brevet,1
2954,1878,Undirected,283,inventeur_brevet,1
2955,2069,Undirected,284,inventeur_brevet,1
2956,768,Undirected,285,inventeur_brevet,1
2957,1924,Undirected,286,inventeur_brevet,1
2958,1799,Undirected,287,inventeur_brevet,1
2959,2668,Undirected,288,inventeur_brevet,1
2960,2283,Undirected,289,inventeur_brevet,1
2961,182,Undirected,290,inventeur_brevet,1
2962,900,Undirected,291,inventeur_brevet,1
2963,275,Undirected,292,inventeur_brevet,1
2964,1296,Undirected,293,inventeur_brevet,1
2965,1287,Undirected,294,inventeur_brevet,1
2966,1078,Undirected,295,inventeur_brevet,1
2967,995,Undirected,296,inventeur_brevet,1
2968,737,Undirected,297,inventeur_brevet,1
2969,1720,Undirected,298,inventeur_brevet,1
2970,2478,Undirected,299,inventeur_brevet,1
2971,2582,Undirected,300,inventeur_brevet,1
2972,2574,Undirected,301,inventeur_brevet,1
2973,2168,Undirected,302,inventeur_brevet,1
2974,292,Undirected,303,inventeur_brevet,1
2975,1591,Undirected,304,inventeur_brevet,1
2976,949,Undirected,305,inventeur_brevet,1
2977,2304,Undirected,306,inventeur_brevet,1
2978,1987,Undirected,307,inventeur_brevet,1
2979,1988,Undirected,308,inventeur_brevet,1
2980,1610,Undirected,309,inventeur_brevet,1
2981,1089,Undirected,310,inventeur_brevet,1
2982,2593,Undirected,311,inventeur_brevet,1
2983,1174,Undirected,312,inventeur_brevet,1
2984,1129,Undirected,313,inventeur_brevet,1
2985,1237,Undirected,314,inventeur_brevet,1
2986,312,Undirected,315,inventeur_brevet,1
2987,35,Undirected,316,inventeur_brevet,1
2988,2662,Undirected,317,inventeur_brevet,1
2989,1912,Undirected,318,inventeur_brevet,1
2990,1437,Undirected,319,inventeur_brevet,1
2991,415,Undirected,320,inventeur_brevet,1
2992,5,Undirected,321,inventeur_brevet,1
2992,345,Undirected,322,inventeur_brevet,1
